,open,high,low,close,volume
2024-05-31,191.44,192.57,189.91,192.25,75158277.0
2024-05-30,190.76,192.18,190.63,191.29,49947941.0
2024-05-29,189.61,192.247,189.51,190.29,53068016.0
2024-05-28,191.51,193.0,189.1,189.99,52280051.0
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0
2024-05-23,190.98,191.0,186.625,186.88,51005924.0
2024-05-22,192.265,192.8231,190.27,190.9,34648547.0
2024-05-21,191.09,192.73,190.9201,192.35,42309401.0
2024-05-20,189.325,191.9199,189.01,191.04,44361275.0
2024-05-17,189.51,190.81,189.18,189.87,41282925.0
2024-05-16,190.47,191.095,189.6601,189.84,52845230.0
2024-05-15,187.91,190.65,187.37,189.72,70399988.0
2024-05-14,187.51,188.3,186.29,187.43,52393619.0
2024-05-13,185.435,187.1,184.62,186.28,72044809.0
2024-05-10,184.9,185.09,182.13,183.05,50759496.0
2024-05-09,182.56,184.66,182.11,184.57,48982972.0
2024-05-08,182.85,183.07,181.45,182.74,45057087.0
2024-05-07,183.45,184.9,181.32,182.4,77305771.0
2024-05-06,182.354,184.2,180.42,181.71,78569667.0
2024-05-03,186.645,187.0,182.66,183.38,163224109.0
2024-05-02,172.51,173.415,170.89,173.03,94214915.0
2024-05-01,169.58,172.705,169.11,169.3,50383147.0
2024-04-30,173.33,174.99,170.0,170.33,65934776.0
2024-04-29,173.37,176.03,173.1,173.5,68169419.0
2024-04-26,169.88,171.34,169.18,169.3,44838354.0
2024-04-25,169.525,170.61,168.1511,169.89,50558329.0
2024-04-24,166.54,169.3,166.21,169.02,48251835.0
2024-04-23,165.35,167.05,164.92,166.9,49537761.0
2024-04-22,165.515,167.26,164.77,165.84,48116443.0
2024-04-19,166.21,166.4,164.075,165.0,68149377.0
2024-04-18,168.03,168.64,166.55,167.04,43122903.0
2024-04-17,169.61,170.65,168.0,168.0,50901210.0
2024-04-16,171.75,173.76,168.27,169.38,73711235.0
2024-04-15,175.36,176.63,172.5,172.69,73531773.0
2024-04-12,174.26,178.36,174.21,176.55,101670886.0
2024-04-11,168.34,175.46,168.16,175.04,91070275.0
2024-04-10,168.8,169.09,167.11,167.78,49709336.0
2024-04-09,168.7,170.08,168.35,169.67,42231444.0
2024-04-08,169.03,169.2,168.24,168.45,37216858.0
2024-04-05,169.59,170.39,168.95,169.58,41975776.0
2024-04-04,170.29,171.92,168.82,168.82,53355055.0
2024-04-03,168.79,170.68,168.58,169.65,45571129.0
2024-04-02,169.08,169.34,168.2302,168.84,49013991.0
2024-04-01,171.19,171.25,169.475,170.03,43772506.0
2024-03-28,171.75,172.23,170.51,171.48,65672690.0
2024-03-27,170.41,173.6,170.11,173.31,60273265.0
2024-03-26,170.0,171.42,169.58,169.71,57388449.0
2024-03-25,170.565,171.94,169.45,170.85,54288328.0
2024-03-22,171.76,173.05,170.06,172.28,71160138.0
2024-03-21,177.05,177.49,170.84,171.37,106181270.0
2024-03-20,175.72,178.67,175.09,178.67,53423102.0
2024-03-19,174.34,176.605,173.03,176.08,55215244.0
