,open,high,low,close,volume
2024-05-31,145.57,147.48,145.19,146.67,14621203.0
2024-05-30,144.62,145.61,144.02,145.28,8491111.0
2024-05-29,143.82,145.415,143.71,144.44,8263810.0
2024-05-28,146.79,146.79,144.1502,144.38,10499829.0
2024-05-24,149.53,149.8139,146.76,146.97,9520576.0
2024-05-23,152.75,152.84,149.375,149.7,8000422.0
2024-05-22,150.84,154.08,150.32,153.5,6609788.0
2024-05-21,151.78,152.585,150.785,151.24,5492354.0
2024-05-20,153.1,153.39,151.26,151.27,7742280.0
2024-05-17,154.86,154.86,153.7129,154.64,6521794.0
2024-05-16,153.0,154.38,152.33,154.28,7590959.0
2024-05-15,151.82,152.95,151.3,152.67,5547955.0
2024-05-14,151.85,152.21,150.7,151.38,8254171.0
2024-05-13,150.04,152.0,149.705,151.22,5628467.0
2024-05-10,150.0,150.09,149.19,149.91,5710566.0
2024-05-09,148.98,150.1,148.89,149.85,6546153.0
2024-05-08,149.12,149.73,148.7,148.95,7735148.0
2024-05-07,149.38,149.73,148.45,148.72,7333730.0
2024-05-06,149.87,150.05,147.91,148.58,5042757.0
2024-05-03,149.89,149.89,147.82,149.27,6532718.0
2024-05-02,152.04,152.33,149.14,149.92,8459796.0
2024-05-01,148.735,151.85,147.62,151.18,14473711.0
2024-04-30,146.88,146.88,144.53,144.59,8817719.0
2024-04-29,146.14,147.22,145.985,146.82,6461588.0
2024-04-26,146.7,147.175,145.95,146.14,6182982.0
2024-04-25,149.37,149.58,146.33,146.82,7642732.0
2024-04-24,148.14,148.99,146.86,148.53,9756259.0
2024-04-23,149.86,150.49,148.2,149.56,10110442.0
2024-04-22,148.51,150.27,147.3,149.12,10118694.0
2024-04-19,146.15,148.13,144.54,147.91,9750751.0
2024-04-18,144.98,145.8,143.13,145.74,9887704.0
2024-04-17,145.0,145.41,143.54,144.77,9378059.0
2024-04-16,145.01,146.25,143.39,144.45,12774859.0
2024-04-15,148.37,149.49,147.37,147.59,8502266.0
2024-04-12,148.06,149.065,147.15,147.52,7100178.0
2024-04-11,150.8,150.87,148.39,148.79,8374434.0
2024-04-10,151.53,151.82,149.76,150.2,6809519.0
