,open,high,low,close,volume
2024-05-31,271.44,272.76,269.01,272.46,8909985.0
2024-05-30,268.7,271.64,268.31,271.3,4903071.0
2024-05-29,269.0,271.14,268.26,268.86,5469713.0
2024-05-28,274.23,274.462,270.23,270.98,6212455.0
2024-05-24,275.01,275.24,273.35,274.49,4339967.0
2024-05-23,275.24,277.44,273.0343,274.23,6115917.0
2024-05-22,275.53,278.08,275.12,275.58,4202492.0
2024-05-21,278.0,278.425,274.88,275.95,6578156.0
2024-05-20,279.22,280.27,278.18,278.54,5460901.0
2024-05-17,280.05,280.91,278.1,280.1,6177831.0
2024-05-16,281.74,282.38,279.26,279.84,10341718.0
2024-05-15,277.15,281.73,277.07,281.5,21288365.0
2024-05-14,279.44,279.99,274.265,277.74,18526094.0
2024-05-13,281.46,282.15,279.1,279.39,10528397.0
2024-05-10,279.55,281.03,279.24,280.74,8986581.0
2024-05-09,276.8,278.79,276.395,278.54,8948813.0
2024-05-08,277.8,278.545,274.915,277.19,9029699.0
2024-05-07,273.72,277.88,272.835,276.46,6377080.0
2024-05-06,269.65,272.78,269.57,272.67,3958721.0
2024-05-03,269.0,269.45,266.5,268.49,3862018.0
2024-05-02,269.35,269.47,266.65,267.61,5061698.0
2024-05-01,268.15,270.91,266.71,267.32,6125360.0
2024-04-30,270.53,272.08,268.585,268.61,6376353.0
2024-04-29,272.32,274.47,271.09,271.84,4192247.0
2024-04-26,275.01,276.77,273.83,274.52,6840615.0
2024-04-25,272.97,276.22,270.49,275.16,8064621.0
2024-04-24,282.57,283.0,274.49,275.02,8807157.0
2024-04-23,274.01,274.89,272.71,274.11,6438002.0
2024-04-22,270.95,273.76,269.36,272.33,6463742.0
2024-04-19,271.47,272.0,268.29,269.78,7905368.0
2024-04-18,272.57,273.15,269.86,271.37,8231849.0
2024-04-17,273.3,274.0,271.5,272.69,5940897.0
2024-04-16,270.54,274.13,270.17,271.35,8237131.0
2024-04-15,277.89,277.91,270.34,271.28,10267489.0
2024-04-12,275.55,277.0,274.055,275.96,9038411.0
2024-04-11,274.0,276.48,272.18,275.68,8102293.0
2024-04-10,275.42,276.82,274.12,274.48,5276012.0
2024-04-09,277.63,278.0,273.32,276.72,7292102.0
2024-04-08,276.25,277.98,275.15,277.76,5521086.0
2024-04-05,276.1,277.957,275.03,277.14,4368406.0
2024-04-04,278.36,279.085,273.56,274.0,4003715.0
2024-04-03,280.48,280.48,276.56,276.96,4472635.0
2024-04-02,278.0,279.33,276.98,278.44,6780676.0
2024-04-01,280.36,280.89,276.79,278.28,5055390.0
2024-03-28,278.49,279.8,277.12,279.08,5844358.0
2024-03-27,280.25,281.25,276.98,279.02,5190674.0
2024-03-26,284.13,284.13,278.41,280.6,8752364.0
2024-03-25,283.01,283.5,280.04,281.21,8519433.0
2024-03-22,290.0,290.49,282.89,283.26,8744121.0
2024-03-21,289.97,290.96,287.9,290.37,5057559.0
2024-03-20,287.64,289.87,286.72,289.28,6104955.0
2024-03-19,286.66,288.06,285.25,287.35,6595183.0
2024-03-18,283.87,286.23,283.25,285.05,4095632.0
2024-03-15,283.55,285.63,282.64,283.04,9845181.0
2024-03-14,288.96,289.0405,284.55,286.41,5448181.0
2024-03-13,284.66,286.1,283.82,285.14,5661429.0
2024-03-12,281.31,284.475,280.29,283.92,7962394.0
2024-03-11,279.45,280.77,277.99,280.56,4551187.0
2024-03-08,279.0,281.665,278.83,280.04,3929002.0
2024-03-07,280.88,281.17,276.16,278.26,5668483.0
2024-03-06,280.0,282.0,279.31,280.43,4535185.0
2024-03-05,280.27,280.99,277.68,279.38,6228066.0
2024-03-04,282.81,283.0,278.13,280.53,5920308.0
2024-03-01,283.2,284.91,282.11,283.16,3955728.0
2024-02-29,285.5,285.66,282.18,282.64,6633684.0
2024-02-28,282.1,286.13,282.085,285.63,4358820.0
2024-02-27,284.17,284.17,281.54,283.17,4145383.0
2024-02-26,283.04,285.35,282.66,284.15,3856911.0
2024-02-23,284.72,285.95,283.5,283.6,5107693.0
2024-02-22,279.18,284.06,278.98,283.75,5100191.0
2024-02-21,274.63,276.97,273.53,276.76,4771105.0
2024-02-20,274.57,276.84,273.34,275.15,6157178.0
2024-02-16,280.96,281.12,277.87,278.56,6630744.0
2024-02-15,277.655,281.12,277.56,280.98,4834758.0
2024-02-14,276.47,277.64,274.71,277.56,4218350.0
2024-02-13,273.75,278.0,272.763,275.81,5493833.0
2024-02-12,276.43,276.67,274.24,275.07,3676232.0
2024-02-09,275.0,277.18,274.09,276.43,4618283.0
2024-02-08,279.54,279.66,275.28,275.78,5833409.0
2024-02-07,279.38,279.54,277.06,279.39,4785902.0
2024-02-06,274.8,276.88,274.03,276.76,4400250.0
2024-02-05,277.4,278.0,275.125,275.58,4899140.0
2024-02-02,277.61,278.5,275.68,277.18,4848891.0
2024-02-01,273.39,277.19,273.36,277.05,7064976.0
2024-01-31,277.12,279.99,273.18,273.26,6139312.0
2024-01-30,274.59,278.64,274.19,277.15,6548999.0
2024-01-29,266.97,275.07,266.71,273.66,6574480.0
2024-01-26,265.94,270.8704,265.6,267.94,8586548.0
2024-01-25,271.95,272.78,270.8,272.61,6894942.0
2024-01-24,272.57,272.86,271.075,271.65,4944962.0
2024-01-23,271.55,271.87,269.91,271.26,5882995.0
2024-01-22,272.24,272.35,270.36,271.2,5984272.0
2024-01-19,268.18,271.15,267.05,270.9,7226520.0
2024-01-18,267.88,268.78,266.415,268.14,6694264.0
2024-01-17,264.42,267.1,264.39,266.63,5118722.0
2024-01-16,263.52,265.66,262.35,265.24,6196414.0
2024-01-12,265.13,265.55,263.71,264.17,4656238.0
2024-01-11,265.46,266.19,262.4,264.03,5598998.0
2024-01-10,264.97,265.37,262.86,264.56,4355784.0
2024-01-09,262.0,263.62,261.1435,263.33,7055782.0
