,open,high,low,close,volume
2024-05-31,64.67,65.9,64.16,65.76,27632223.0
2024-05-30,64.93,65.1711,64.77,64.89,13053481.0
2024-05-29,64.75,65.21,64.65,64.92,11538552.0
2024-05-28,65.22,65.47,64.74,65.04,13349619.0
2024-05-24,65.13,65.69,65.01,65.38,11795024.0
2024-05-23,65.17,65.515,64.56,64.84,16222946.0
2024-05-22,64.98,65.69,64.73,65.25,14879434.0
2024-05-21,64.53,65.19,64.45,65.15,17131691.0
2024-05-20,64.42,64.76,63.87,64.18,15001391.0
2024-05-17,64.24,64.88,63.63,64.65,29330381.0
2024-05-16,64.22,64.415,62.94,64.01,60545613.0
2024-05-15,59.83,59.94,59.47,59.83,22240558.0
2024-05-14,60.52,60.55,59.435,59.86,18780139.0
2024-05-13,60.62,61.345,60.29,60.41,19260522.0
2024-05-10,60.41,60.58,60.16,60.48,12356612.0
2024-05-09,60.2,60.5799,59.95,60.44,14550463.0
2024-05-08,60.63,60.845,60.22,60.3,11015695.0
2024-05-07,60.17,60.8,60.05,60.62,14520240.0
2024-05-06,60.0,60.0,59.39,59.87,11119402.0
2024-05-03,59.62,59.98,59.14,59.82,14207397.0
2024-05-02,58.94,59.885,58.58,59.71,17574115.0
2024-05-01,59.31,59.41,58.72,58.85,15470975.0
2024-04-30,60.2,60.3,59.16,59.35,14209155.0
2024-04-29,60.18,60.39,59.94,60.24,9788575.0
2024-04-26,60.11,60.39,60.0,60.16,11045224.0
2024-04-25,60.05,60.53,59.8325,60.21,19262954.0
2024-04-24,58.975,60.04,58.81,59.87,18529138.0
2024-04-23,60.25,60.35,58.555,59.09,17963945.0
2024-04-22,59.56,60.395,59.04,60.14,14909983.0
2024-04-19,59.45,59.67,58.97,59.53,14165797.0
2024-04-18,59.83,59.935,59.22,59.26,12061538.0
2024-04-17,60.15,60.43,59.57,59.65,15329693.0
2024-04-16,60.03,60.29,59.78,59.84,14726259.0
2024-04-15,60.51,60.7,59.91,59.93,10557182.0
2024-04-12,60.0,60.72,59.95,60.14,12280569.0
2024-04-11,60.75,60.89,60.07,60.09,10987600.0
2024-04-10,59.62,60.76,59.39,60.62,15097558.0
2024-04-09,59.87,59.97,59.3,59.79,9934129.0
2024-04-08,59.6,60.04,59.42,59.78,11002181.0
2024-04-05,59.55,60.04,59.49,59.85,10329229.0
2024-04-04,59.54,59.81,59.29,59.5,14422434.0
2024-04-03,59.38,59.5,58.94,59.43,13812808.0
2024-04-02,59.9,60.1,58.88,59.16,19493623.0
2024-04-01,60.31,60.76,59.93,60.0,13787826.0
2024-03-28,60.66,60.77,60.16,60.17,17535100.0
2024-03-27,60.87,61.05,60.38,60.72,14363410.0
2024-03-26,60.46,60.83,60.23,60.51,13738342.0
2024-03-25,60.87,60.985,60.36,60.57,14186627.0
2024-03-22,61.32,61.526,60.85,60.87,14029440.0
2024-03-21,61.28,61.655,61.05,61.45,14265872.0
2024-03-20,60.84,61.28,60.74,61.25,12007593.0
2024-03-19,60.97,61.07,60.6,60.87,12353624.0
2024-03-18,60.69,60.9,60.39,60.86,16801658.0
2024-03-15,60.68,61.15,60.46,60.68,50946329.0
2024-03-14,61.28,61.44,60.595,61.02,15086797.0
2024-03-13,61.26,61.455,60.88,61.28,15863477.0
2024-03-12,60.95,61.565,60.645,61.41,16555854.0
2024-03-11,60.1,60.71,59.87,60.66,14062631.0
2024-03-08,60.0,60.28,59.73,60.12,12143645.0
2024-03-07,61.0,61.0699,60.345,60.36,16195303.0
2024-03-06,60.12,60.62,60.04,60.57,12698714.0
2024-03-05,59.87,60.34,59.575,60.04,19676884.0
2024-03-04,58.5,59.39,58.4,59.3,16033298.0
2024-03-01,58.8,58.85,58.2,58.76,19030919.0
2024-02-29,59.45,59.49,58.59,58.61,29245142.0
2024-02-28,59.55,59.76,59.31,59.62,14803289.0
2024-02-27,59.64,59.8,59.22,59.59,18012749.0
2024-02-26,59.12,59.84,58.18,59.6,32068658.0
2024-02-23,176.09,177.65,175.31,175.56,24788589.0
2024-02-22,173.88,175.47,173.31,175.41,9837645.0
2024-02-21,175.0,175.58,172.8,173.7,13517177.0
2024-02-20,178.48,181.35,175.23,175.86,23929538.0
2024-02-16,170.29,171.93,169.29,170.36,7457847.0
2024-02-15,169.8,169.85,167.97,169.29,5649619.0
2024-02-14,168.75,168.875,167.54,168.6,6161534.0
2024-02-13,170.62,171.07,168.27,169.14,6191405.0
2024-02-12,169.23,170.36,169.05,170.3,4931680.0
2024-02-09,169.39,169.73,168.92,169.28,4776622.0
2024-02-08,169.38,170.55,169.14,169.37,4809309.0
2024-02-07,170.27,170.66,169.2,169.38,5694155.0
2024-02-06,168.79,169.95,168.34,169.81,4729928.0
